110550,840804
149609,885077
44983,772522
49303,299921
118944,671217
106183,969035
118428,735787
79111,325345
33470,300587
64721,508490
162482,375651
142493,745378
34709,35545
60676,946562
35753,203732
95222,190306
80814,629317
53091,16229
145201,103048
157790,700387
106791,209456
31962,933682
95640,161998
103403,575461
66206,518080
52069,404189
39584,820849
53579,37063
151524,464603
25112,440451
20217,330721
23380,703025
16194,990970
110810,993462
165465,525071
65563,874592
24778,249395
25655,395869
51898,903674
4909,636030
159788,92589
127577,617833
96771,29114
107816,766733
115895,876500
73144,335383
102273,235761
165095,465832
77256,575544
91420,811283
164191,651261
14426,889310
160235,210343
166576,588385
77821,530518
157489,499605
34716,587954
155770,995490
99573,902178
117524,227723
69316,354609
1634,465711
37567,527615
86367,447844
132964,360944
39383,667325
34277,172414
143800,764438
88512,339738
53206,447142
14434,190355
75895,611865
128749,896145
108859,586356
152405,419900
128818,666493
113917,810430
135550,368908
4726,393174
7356,71303
96907,653199
106919,962345
7574,857451
154301,472998
18118,713141
148458,611180
125796,609139
97235,871614
83542,237254
66791,642749
25970,640264
85341,282629
144255,983586
150863,285576
100977,597452
129909,211574
95513,86466
49467,300223
150451,553419
148536,941137
118218,234238
98062,422659
89987,90947
35739,630779
89907,159499
49095,620115
166338,699378
164627,228840
15422,441828
83491,159440
5683,483590
132917,197148
131730,623024
66558,487967
27286,185487
126644,48129
13968,634842
75923,926870
8138,517980
23606,694416
46972,539222
14850,177021
13040,811475
105320,610962
47702,581028
161253,637351
157737,972851
13203,809642
84960,553279
129115,535709
46073,756952
154481,626370
132113,474888
111437,872225
68165,350567
6449,320703
66751,580891
30900,175163
17459,268913
48163,487953
17348,625185
130984,69284
73490,564625
85677,283797
47499,495761
147586,656706
112850,349235
27151,461383
18885,142439
89421,710262
40059,627158
79708,220943
137740,817100
103647,679360
129009,442177
31419,871900
165861,626425
99601,508340
28905,336428
142183,307479
156368,397126
140176,267339
136250,121882
110203,291816
22228,853680
86577,595644
117016,964331
152188,559565
124856,108565
10754,957556
131447,779874
159100,728012
22305,464995
29453,710745
50264,943898
124360,21680
88510,532153
64625,987115
27498,312563
161938,809440
114220,652923
35018,386159
74231,556789
114256,954123
105954,644130
142463,480820
147650,808738
96130,974624
85856,849271
74827,135849
82347,620800
123706,20515
70327,503748
154760,638667
37007,237075
6306,659154
59183,412605
58796,642721
110189,177358
6125,475295
35320,940763
155476,923348
134866,133628
77960,483195
143211,315750
77129,946128
156691,179024
45040,351226
36394,242941
79086,247750
81292,289337
37873,438980
86840,833287
137367,629367
5295,176991
17933,646886
80250,843555
150828,162457
52962,437526
69242,78312
109860,229057
69693,7182
54997,8585
111381,514178
134301,8887
118788,43247
79466,941398
43796,700065
50895,443656
105518,313261
131656,484765
153144,445824
116149,525726
764,278593
32750,481541
100371,537684
30142,781941
109540,887737
150694,77622
22402,462865
51384,388867
157981,457165
121585,743426
45254,946683
102225,600524
158341,364690
106592,607881
60118,302163
63095,488617
22028,555326
39373,104907
99163,592146
77307,995276
109034,859644
62389,932400
132670,603900
24652,298286
20229,124635
132011,323719
129201,636229
15589,488826
9592,157068
139177,631668
42120,99080
54221,561696
134247,479348
40592,224981
59175,925657
48476,718061
4183,897877
474,697308
104983,797026
167554,980675
142016,883914
37709,388696
111644,179227
31322,121624
70106,766932
20249,219576
47353,172882
99057,902557
28124,740480
6787,837248
39739,175304
37991,627419
91419,680539
93855,74861
88760,355110
133145,7688
57529,776385
105027,722904
